"fixed.acidity","volatile.acidity","citric.acid","residual.sugar","chlorides","free.sulfur.dioxide","total.sulfur.dioxide","density","pH","sulphates","alcohol","quality"
7.9,0.17,0.32,1.6,0.053,47,150,0.9948,3.29,0.76,9.6,6
7.9,0.17,0.32,1.6,0.053,47,150,0.9948,3.29,0.76,9.6,6
8.3,0.17,0.31,1.5,0.049,48,153,0.9942,3.12,0.58,9.4,6
6,0.27,0.15,1.5,0.056,35,128,0.9936,3.12,0.45,8.8,5
6.8,0.32,0.34,6,0.05,5,129,0.9953,3.19,0.4,9.1,5
8.1,0.24,0.33,10.2,0.048,46,141,0.9972,3.16,0.48,10.3,6
6.5,0.22,0.25,17.1,0.05,44,138,1.0001,3.3,0.37,8.8,5
6.5,0.22,0.25,17.1,0.05,44,138,1.0001,3.3,0.37,8.8,5
6.5,0.22,0.25,17.1,0.05,44,138,1.0001,3.3,0.37,8.8,5
6.8,0.2,0.27,1.2,0.034,19,68,0.9902,3.14,0.37,11.7,4
7.7,0.26,0.32,1.2,0.04,26,117,0.993,3.21,0.56,10.8,5
6.8,0.25,0.27,10.7,0.076,47,154,0.9967,3.05,0.38,9,5
7.1,0.22,0.32,16.9,0.056,49,158,0.9998,3.37,0.38,9.6,6
6.8,0.26,0.32,7,0.041,38,118,0.9939,3.25,0.52,10.8,6
7.2,0.16,0.26,7.1,0.054,41,224,0.9966,3.38,0.55,10.1,5
7.9,0.18,0.36,5.9,0.058,31,132,0.995,3.25,0.52,10.9,6
8.2,0.21,0.32,10.65,0.053,53,145,0.9972,3.17,0.48,10.2,6
6.8,0.24,0.34,5.1,0.038,31,99,0.9921,3.24,0.46,11.8,6
7,0.24,0.34,3,0.035,36,102,0.9905,3.18,0.43,12.2,6
7.7,0.28,0.35,15.3,0.056,31,117,0.9998,3.27,0.5,9.6,5
7,0.22,0.33,2.1,0.052,15,76,0.993,3.2,0.41,10.6,6
9.8,0.93,0.45,8.6,0.052,34,187,0.9994,3.12,0.59,10.2,4
6.8,0.37,0.28,4,0.03,29,79,0.99,3.23,0.46,12.4,7
7.4,0.19,0.3,12.8,0.053,48.5,229,0.9986,3.14,0.49,9.1,7
7.4,0.19,0.3,12.8,0.053,48.5,229,0.9986,3.14,0.49,9.1,7
7.4,0.19,0.3,12.8,0.053,48.5,229,0.9986,3.14,0.49,9.1,7
7.6,0.32,0.58,16.75,0.05,43,163,0.9999,3.15,0.54,9.2,5
6.6,0.32,0.27,10.9,0.041,37,146,0.9963,3.24,0.47,10,5
6.8,0.25,0.18,1.4,0.056,13,137,0.9935,3.11,0.42,9.5,5
7.9,0.28,0.41,4.9,0.058,31,153,0.9966,3.27,0.51,9.7,6
6.8,0.25,0.18,1.4,0.056,13,137,0.9935,3.11,0.42,9.5,5
7,0.22,0.26,1.1,0.037,20,71,0.9902,3.1,0.38,11.7,6
6.6,0.25,0.42,11.3,0.049,77,231,0.9966,3.24,0.52,9.5,6
6.4,0.24,0.23,7.3,0.069,31,157,0.9962,3.25,0.53,9.1,5
7.6,0.27,0.33,2,0.059,19,175,0.9944,3.22,0.56,9.9,5
7,0.32,0.35,1.5,0.039,24,125,0.9918,3.17,0.64,12.2,6
6.9,0.21,0.33,1.4,0.056,35,136,0.9938,3.63,0.78,10.3,6
7.8,0.3,0.37,1.3,0.051,16,96,0.9941,3.32,0.62,10,5
8.1,0.25,0.38,3.8,0.051,18,129,0.9928,3.21,0.38,11.5,6
8.5,0.28,0.34,13.8,0.041,32,161,0.9981,3.13,0.4,9.9,6
7.7,0.27,0.61,12,0.046,64,179,0.9982,3.07,0.46,8.9,5
6.9,0.25,0.35,9.2,0.034,42,150,0.9947,3.21,0.36,11.5,6
7.1,0.2,0.36,11.6,0.042,45,124,0.997,2.92,0.59,9.5,7
6.9,0.25,0.35,9.2,0.034,42,150,0.9947,3.21,0.36,11.5,6
6.9,0.44,0.42,8.5,0.048,10,147,0.9974,3.32,0.46,9.5,6
6.1,0.15,0.29,6.2,0.046,39,151,0.99471,3.6,0.44,10.6,6
7.2,0.29,0.18,8.2,0.042,41,180,0.99644,3.16,0.49,9.1,5
7.1,0.28,0.19,7.8,0.04,48,184,0.99579,3.16,0.5,9.4,5
7,0.36,0.14,11.6,0.043,35,228,0.9977,3.13,0.51,8.9,5
7.5,0.31,0.24,7.1,0.031,28,141,0.99397,3.16,0.38,10.6,7
7.3,0.21,0.21,1.6,0.046,35,133,0.99466,3.38,0.46,10,6
7.2,0.39,0.54,1.4,0.157,34,132,0.99449,3.11,0.53,9,6
7.6,0.48,0.28,10.4,0.049,57,205,0.99748,3.24,0.45,9.3,5
6.5,0.36,0.31,4.1,0.061,20,134,0.99475,3.18,0.45,9,6
6.9,0.3,0.21,15.7,0.056,49,159,0.99827,3.11,0.48,9,5
6.6,0.19,0.43,10.9,0.045,53,154,0.99752,3.52,0.77,10.4,6
7.3,0.19,0.25,1.4,0.051,41,107,0.99382,3.53,0.66,10.5,7
6.7,0.25,0.26,13.5,0.06,50,156,0.99784,3.39,0.46,9.9,6
7.3,0.19,0.25,1.4,0.051,41,107,0.99382,3.53,0.66,10.5,7
6.7,0.31,0.18,7.7,0.043,57,200,0.99566,3.17,0.44,9.4,6
7.4,0.33,0.26,15.6,0.049,67,210,0.99907,3.06,0.68,9.5,5
8.6,0.17,0.28,2.7,0.047,38,150,0.99365,3.1,0.56,10.8,6
7.5,0.42,0.19,6.9,0.041,62,150,0.99508,3.23,0.37,10,6
6.5,0.29,0.42,10.6,0.042,66,202,0.99674,3.24,0.53,9.5,6
7,0.36,0.3,5,0.04,40,143,0.99173,3.33,0.42,12.2,7
9.4,0.28,0.3,1.6,0.045,36,139,0.99534,3.11,0.49,9.3,5
8.1,0.28,0.34,1.3,0.035,11,126,0.99232,3.14,0.5,9.8,6
6.8,0.32,0.3,3.3,0.029,15,80,0.99061,3.33,0.63,12.6,7
7,0.19,0.33,6.3,0.032,42,127,0.99182,3.31,0.38,12.2,6
7.4,0.2,0.31,1.6,0.038,34,116,0.9912,3.25,0.39,12,7
6.6,0.4,0.32,1.7,0.035,39,84,0.99096,3.59,0.48,12.7,7
4.6,0.445,0,1.4,0.053,11,178,0.99426,3.79,0.55,10.2,5
6.9,0.35,0.55,11.95,0.038,22,111,0.99687,3.11,0.29,9.7,5
7.5,0.3,0.32,1.4,0.032,31,161,0.99154,2.95,0.42,10.5,5
6.8,0.37,0.28,1.9,0.024,64,106,0.98993,3.45,0.6,12.6,8
7.5,0.23,0.35,17.8,0.058,128,212,1.00241,3.44,0.43,8.9,5
8.3,0.27,0.34,10.2,0.048,50,118,0.99716,3.18,0.51,10.3,5
6.5,0.28,0.35,9.8,0.067,61,180,0.9972,3.15,0.57,9,4
7.7,0.29,0.29,4.8,0.06,27,156,0.99572,3.49,0.59,10.3,6
7.9,0.46,0.4,10.1,0.168,19,184,0.99782,3.06,0.62,9.5,5
7.9,0.31,0.22,13.3,0.048,46,212,0.99942,3.47,0.59,10,5
6.1,0.28,0.16,1.3,0.06,36,126,0.99353,3.13,0.46,8.7,6
6.5,0.21,0.28,1.4,0.046,26,66,0.99199,3.43,0.48,11.1,6
7.6,0.48,0.33,7,0.024,14,130,0.9918,3.25,0.45,12.5,7
8.9,0.21,0.37,1.2,0.028,20,93,0.99244,3.2,0.37,11.5,5
8.1,0.25,0.34,10.1,0.05,30,121,0.99724,3.17,0.49,10.1,6
7.4,0.34,0.3,14.9,0.037,70,169,0.99698,3.25,0.37,10.4,6
6.3,0.1,0.24,6,0.039,25,107,0.99511,3.59,0.49,10.5,7
7,0.32,0.29,4.9,0.036,41,150,0.99168,3.38,0.43,12.2,6
7.2,0.2,0.3,2,0.039,43,188,0.9911,3.3,0.41,12,6
9.4,0.23,0.56,16.45,0.063,52.5,282,1.00098,3.1,0.51,9.3,5
7.6,0.2,0.68,12.9,0.042,56,160,0.99841,3.05,0.41,8.7,5
6.9,0.3,0.3,1.3,0.053,24,186,0.99361,3.29,0.54,9.9,4
6.8,0.46,0.26,2.7,0.042,28,83,0.99114,3.38,0.51,12,8
7,0.28,0.26,1.7,0.042,34,130,0.9925,3.43,0.5,10.7,8
6.4,0.17,0.34,1.5,0.093,43,136,0.9938,3.25,0.49,9.6,6
6.3,0.695,0.55,12.9,0.056,58,252,0.99806,3.29,0.49,8.7,5
9.2,0.19,0.42,2,0.047,16,104,0.99517,3.09,0.66,10,4
8,0.26,0.28,8.2,0.038,72,202,0.99566,3.12,0.56,10,6
7.1,0.21,0.28,2.7,0.034,23,111,0.99405,3.35,0.64,10.2,4
7.3,0.815,0.09,11.4,0.044,45,204,0.99713,3.15,0.46,9,5
6.8,0.26,0.43,11.75,0.045,53,198,0.9969,3.26,0.55,9.5,5
6.2,0.44,0.18,7.7,0.096,28,210,0.99771,3.56,0.72,9.2,5
7.4,0.35,0.2,13.9,0.054,63,229,0.99888,3.11,0.5,8.9,6
8.3,0.28,0.27,17.5,0.045,48,253,1.00014,3.02,0.56,9.1,6
6.9,0.43,0.28,9.4,0.056,29,183,0.99594,3.17,0.43,9.4,5
7.6,0.285,0.32,14.6,0.063,32,201,0.998,3,0.45,9.2,5
6.6,0.34,0.34,2.6,0.051,40.5,210,0.99314,3.15,0.61,10,5
6.7,0.27,0.26,2.3,0.043,61,181,0.99394,3.45,0.63,10.6,6
6.6,0.56,0.15,10,0.037,38,157,0.99642,3.28,0.52,9.4,5
6.3,0.2,0.26,1.6,0.027,36,141,0.99268,3.53,0.56,10.8,6
7.5,0.27,0.79,11.95,0.04,51,159,0.99839,2.98,0.44,8.7,5
7,0.28,0.32,1.7,0.038,27,128,0.99375,3.2,0.62,10.2,6
5.2,0.16,0.34,0.8,0.029,26,77,0.99155,3.25,0.51,10.1,6
5.6,0.35,0.4,6.3,0.022,23,174,0.9922,3.54,0.5,11.6,7
6.8,0.29,0.49,1.4,0.142,52,148,0.9937,3.08,0.49,9,6
6.1,0.27,0.31,1.5,0.035,17,83,0.99076,3.32,0.44,11.1,7
6.4,0.37,0.37,4.85,0.041,39.5,216.5,0.99432,3.1,0.5,9.8,6
6.7,0.24,0.32,10.3,0.079,37,122,0.99662,3.02,0.45,8.8,5
7.9,0.27,0.27,1.7,0.034,25,122,0.99088,2.97,0.51,11.9,6
6.1,0.28,0.24,19.95,0.074,32,174,0.99922,3.19,0.44,9.3,6
7.7,0.39,0.49,7.7,0.036,11,110,0.9966,3.33,0.76,10,6
8.6,0.23,0.25,11.3,0.031,13,96,0.99645,3.11,0.4,10.8,5
6.8,0.21,0.36,18.1,0.046,32,133,1,3.27,0.48,8.8,5
6.6,0.32,0.34,7.7,0.044,63,212,0.99526,3.22,0.48,9.7,6
8,0.27,0.57,10.4,0.053,18,134,0.99732,3.12,0.68,9,5
6.2,0.28,0.45,7.5,0.045,46,203,0.99573,3.26,0.46,9.2,6
6.9,0.34,0.3,4.7,0.029,34,148,0.99165,3.36,0.49,12.3,7
7.1,0.32,0.29,4,0.038,33,170,0.99463,3.27,0.64,10.2,6
7.3,0.51,0.29,11.3,0.034,61,224,0.99683,3.14,0.56,9.5,6
6.5,0.18,0.33,1.4,0.029,35,138,0.99114,3.36,0.6,11.5,7
7.3,0.17,0.24,8.1,0.121,32,162,0.99508,3.17,0.38,10.4,8
7.3,0.16,0.35,1.5,0.036,29,108,0.99342,3.27,0.51,10.2,6
6.6,0.42,0.13,12.8,0.044,26,158,0.99772,3.24,0.47,9,5
6.7,0.54,0.27,7.1,0.049,8,178,0.99502,3.16,0.38,9.4,4
6.4,0.22,0.3,11.2,0.046,53,149,0.99479,3.21,0.34,10.8,5
6.5,0.23,0.25,17.3,0.046,15,110,0.99828,3.15,0.42,9.2,6
5.9,0.28,0.14,8.6,0.032,30,142,0.99542,3.28,0.44,9.5,6
6.2,0.27,0.18,1.5,0.028,20,111,0.99228,3.41,0.5,10,5
9,0.29,0.34,12.1,0.03,34,177,0.99706,3.13,0.47,10.6,5
9,0.26,0.34,6.7,0.029,21,162,0.99497,3.08,0.5,10.6,6
6.2,0.33,0.14,4.8,0.052,27,128,0.99475,3.21,0.48,9.4,5
6.6,0.36,0.52,11.3,0.046,8,110,0.9966,3.07,0.46,9.4,5
6.3,0.13,0.42,1.1,0.043,63,146,0.99066,3.13,0.72,11.2,7
5.7,0.255,0.65,1.2,0.079,17,137,0.99307,3.2,0.42,9.4,5
6.9,0.21,0.24,1.8,0.021,17,80,0.98992,3.15,0.46,12.3,7
6.8,0.28,0.36,7,0.043,60,207,0.99556,3.16,0.49,9.6,6
6.7,0.17,0.42,10.4,0.038,85,182,0.99628,3.04,0.44,8.9,6
6.5,0.27,0.4,10,0.039,74,227,0.99582,3.18,0.5,9.4,5
6.4,0.28,0.56,1.7,0.156,49,106,0.99354,3.1,0.37,9.2,6
6.8,0.18,0.3,12.8,0.062,19,171,0.99808,3,0.52,9,7
6.8,0.18,0.3,12.8,0.062,19,171,0.99808,3,0.52,9,7
6.8,0.18,0.3,12.8,0.062,19,171,0.99808,3,0.52,9,7
7.2,0.615,0.1,1.4,0.068,25,154,0.99499,3.2,0.48,9.7,4
6.9,0.13,0.28,13.3,0.05,47,132,0.99655,3.34,0.42,10.1,6
8.2,0.52,0.34,1.2,0.042,18,167,0.99366,3.24,0.39,10.6,5
7.8,0.28,0.31,2.1,0.046,28,208,0.99434,3.23,0.64,9.8,5
7.8,0.28,0.31,2.1,0.046,28,208,0.99434,3.23,0.64,9.8,5
6.8,0.11,0.42,1.1,0.042,51,132,0.99059,3.18,0.74,11.3,7
6.4,0.22,0.34,1.4,0.023,56,115,0.98958,3.18,0.7,11.7,6
6.7,0.3,0.29,2.8,0.025,37,107,0.99159,3.31,0.63,11.3,7
7.1,0.2,0.3,0.9,0.019,4,28,0.98931,3.2,0.36,12,6
7.1,0.2,0.3,0.9,0.019,4,28,0.98931,3.2,0.36,12,6
6.7,0.3,0.29,2.8,0.025,37,107,0.99159,3.31,0.63,11.3,7
6.6,0.36,0.52,10.1,0.05,29,140,0.99628,3.07,0.4,9.4,5
6.15,0.21,0.37,3.2,0.021,20,80,0.99076,3.39,0.47,12,5
6.6,0.26,0.21,2.9,0.026,48,126,0.99089,3.22,0.38,11.3,7
6.5,0.18,0.41,14.2,0.039,47,129,0.99678,3.28,0.72,10.3,7
4.5,0.19,0.21,0.95,0.033,89,159,0.99332,3.34,0.42,8,5
5.8,0.6,0,1.3,0.044,72,197,0.99202,3.56,0.43,10.9,5
7.5,0.13,0.38,1.1,0.023,42,104,0.99112,3.28,0.53,11.8,6
6.1,0.15,0.35,15.8,0.042,55,158,0.99642,3.24,0.37,10.6,5
7.15,0.17,0.24,9.6,0.119,56,178,0.99578,3.15,0.44,10.2,6
6.6,0.23,0.29,14.45,0.057,29,144,0.99756,3.33,0.54,10.2,6
7.3,0.22,0.31,2.3,0.018,45,80,0.98936,3.06,0.34,12.9,7
6.4,0.28,0.27,11,0.042,45,148,0.99786,3.14,0.46,8.7,5
6.45,0.14,0.42,1.2,0.05,51,129,0.99116,3.27,0.69,11.1,7
6.5,0.15,0.44,12.6,0.052,65,158,0.99688,3.26,0.7,10.3,7
6.7,0.33,0.34,6.6,0.067,35,156,0.99542,3.11,0.48,9.3,6
5.9,0.34,0.31,2,0.03,38,142,0.98892,3.4,0.41,12.9,7
6.8,0.26,0.4,7.5,0.046,45,179,0.99583,3.2,0.49,9.3,5
5.9,0.34,0.31,2,0.03,38,142,0.98892,3.4,0.41,12.9,7
7,0.15,0.3,13.3,0.049,46,120,0.99704,3.2,0.36,9.5,7
7.6,0.1,0.33,1,0.031,33,93,0.99094,3.06,0.68,11.2,6
6.6,0.21,0.29,1.8,0.026,35,128,0.99183,3.37,0.48,11.2,6
7,0.16,0.36,2.6,0.029,28,98,0.99126,3.11,0.37,11.2,7
6.6,0.24,0.38,8,0.042,56,187,0.99577,3.21,0.46,9.2,5
6.9,0.3,0.25,3.3,0.041,26,124,0.99428,3.18,0.5,9.3,6
6.2,0.28,0.27,10.3,0.03,26,108,0.99388,3.2,0.36,10.7,6
6.9,0.31,0.32,1.2,0.024,20,166,0.99208,3.05,0.54,9.8,6
6.2,0.28,0.27,10.3,0.03,26,108,0.99388,3.2,0.36,10.7,6
6.5,0.22,0.5,16.4,0.048,36,182,0.99904,3.02,0.49,8.8,6
6.9,0.31,0.32,1.2,0.024,20,166,0.99208,3.05,0.54,9.8,6
6.5,0.23,0.36,16.3,0.038,43,133,0.99924,3.26,0.41,8.8,5
6.6,0.26,0.38,6.5,0.17,68,201,0.9956,3.19,0.38,9.4,6
6.7,0.26,0.39,6.4,0.171,64,200,0.99562,3.19,0.38,9.4,6
7.8,0.25,0.34,13.7,0.044,66,184,0.99976,3.22,0.75,8.9,5
7.8,0.25,0.34,13.7,0.044,66,184,0.99976,3.22,0.75,8.9,5
7.8,0.25,0.34,13.7,0.044,66,184,0.99976,3.22,0.75,8.9,5
6.5,0.35,0.28,12.4,0.051,86,213,0.9962,3.16,0.51,9.9,6
7.4,0.2,0.28,9.1,0.047,29,95,0.99532,3.16,0.47,9.8,7
6.7,0.27,0.33,3.6,0.034,9,45,0.99144,3.08,0.4,10.5,6
6.7,0.27,0.33,3.6,0.034,9,45,0.99144,3.08,0.4,10.5,6
5.9,0.17,0.28,0.7,0.027,5,28,0.98985,3.13,0.32,10.6,5
7.7,0.16,0.36,5.9,0.054,25,148,0.99578,3.25,0.54,10.2,6
6,0.26,0.15,1.3,0.06,51,154,0.99354,3.14,0.51,8.7,5
7.3,0.32,0.35,1.4,0.05,8,163,0.99244,3.24,0.42,10.7,5
6.9,0.16,0.37,1.8,0.034,36,95,0.98952,2.93,0.59,12,6
7.3,0.32,0.35,1.4,0.05,8,163,0.99244,3.24,0.42,10.7,5
6.3,0.2,0.24,1.7,0.052,36,135,0.99374,3.8,0.66,10.8,6
6.2,0.29,0.32,3.6,0.026,39,138,0.9892,3.31,0.37,13.1,7
7.6,0.39,0.32,3.6,0.035,22,93,0.99144,3.08,0.6,12.5,7
7,0.36,0.32,10.05,0.045,37,131,0.99352,3.09,0.33,11.7,8
7.1,0.2,0.31,7.4,0.053,32,211,0.99587,3.31,0.59,10.4,6
7.1,0.2,0.31,7.4,0.053,32,211,0.99587,3.31,0.59,10.4,6
6.8,0.26,0.44,8.2,0.046,52,183,0.99584,3.2,0.51,9.4,5
6.5,0.37,0.3,2.2,0.033,39,107,0.98894,3.22,0.53,13.5,7
6.8,0.35,0.53,10.1,0.053,37,151,0.9963,3.07,0.4,9.4,5
6.7,0.16,0.37,1.3,0.036,45,125,0.98964,3.19,0.51,12.4,7
7,0.27,0.48,6.1,0.042,60,184,0.99566,3.2,0.5,9.4,6
5.8,0.32,0.31,2.7,0.049,25,153,0.99067,3.44,0.73,12.2,7
7.4,0.3,0.32,1.7,0.03,23,128,0.9929,3.17,0.66,10.9,5
6.7,0.19,0.39,1,0.032,14,71,0.98912,3.31,0.38,13,7
7.2,0.26,0.4,6.3,0.047,52,172,0.99573,3.18,0.53,9.5,6
6.3,0.25,0.22,3.3,0.048,41,161,0.99256,3.16,0.5,10.5,6
6.5,0.22,0.45,8,0.053,52,196,0.9959,3.23,0.48,9.1,6
7.1,0.26,0.32,16.2,0.044,31,170,0.99644,3.17,0.37,11.2,5
6.6,0.45,0.43,7.2,0.064,31,186,0.9954,3.12,0.44,9.4,5
6.6,0.17,0.3,1.1,0.031,13,73,0.99095,3.17,0.58,11,6
6.2,0.15,0.27,1.4,0.041,51,117,0.9909,3.28,0.38,11.2,6
6.3,0.25,0.22,3.3,0.048,41,161,0.99256,3.16,0.5,10.5,6
6.5,0.37,0.33,3.5,0.036,23,92,0.99136,3.18,0.38,11.2,6
5.9,0.2,0.4,1.3,0.047,23,92,0.99232,3.2,0.45,10,6
5.9,0.22,0.38,1.3,0.046,24,90,0.99232,3.2,0.47,10,6
6.5,0.22,0.29,7.4,0.028,16,87,0.99311,3.15,0.56,10.9,7
6.6,0.31,0.07,1.5,0.033,55,144,0.99208,3.16,0.42,10,5
7.3,0.23,0.34,9.3,0.052,19,86,0.99574,3.04,0.56,10,5
7.9,0.2,0.39,1,0.041,37,154,0.99093,3.08,0.43,11.9,5
6.4,0.21,0.28,5.9,0.047,29,101,0.99278,3.15,0.4,11,6
6.9,0.33,0.26,5,0.027,46,143,0.9924,3.25,0.43,11.2,7
5.6,0.18,0.58,1.25,0.034,29,129,0.98984,3.51,0.6,12,7
6.6,0.21,0.36,0.8,0.034,48,113,0.99165,3.24,0.68,10.5,6
6.2,0.23,0.23,1.2,0.018,18,128,0.99178,3.05,0.28,10.6,5
7.9,0.25,0.35,6.7,0.039,22,64,0.99362,2.93,0.49,10.7,5
7,0.24,0.3,6.7,0.039,37,125,0.99436,3.2,0.39,9.9,5
6.8,0.475,0.33,3.95,0.047,16,81,0.98988,3.23,0.53,13.4,7
6.4,0.2,0.28,2.5,0.032,24,84,0.99168,3.31,0.55,11.5,5
6.9,0.2,0.3,4.7,0.041,40,148,0.9932,3.16,0.35,10.2,6
6.7,0.42,0.46,9.7,0.054,67,234,0.99848,3.23,0.5,9,5
6.1,0.16,0.37,1.1,0.031,37,97,0.9922,3.4,0.58,10.5,6
6.4,0.25,0.32,0.9,0.034,40,114,0.99114,3.31,0.58,10.8,7
6.2,0.2,0.31,1,0.031,22,73,0.99035,3.24,0.52,11.3,6
6.1,0.37,0.2,7.6,0.031,49,170,0.99558,3.22,0.48,9.5,5
6.5,0.22,0.32,2.2,0.028,36,92,0.99076,3.27,0.59,11.9,7
7.1,0.36,0.4,1.95,0.033,26,118,0.98934,3.2,0.45,13.5,7
6.4,0.16,0.32,8.75,0.038,38,118,0.99449,3.19,0.41,10.7,5
6.9,0.22,0.31,6.3,0.029,41,131,0.99326,3.08,0.49,10.8,6
6.6,0.22,0.29,14.4,0.046,39,118,0.99834,3.05,0.5,9.1,6
5.2,0.155,0.33,1.6,0.028,13,59,0.98975,3.3,0.84,11.9,8
7.1,0.27,0.28,1.25,0.023,3,89,0.98993,2.95,0.3,11.4,4
5.2,0.17,0.27,0.7,0.03,11,68,0.99218,3.3,0.41,9.8,5
7,0.12,0.29,10.3,0.039,41,98,0.99564,3.19,0.38,9.8,8
7.1,0.29,0.34,7.8,0.036,49,128,0.99397,3.21,0.4,10.7,6
4.9,0.33,0.31,1.2,0.016,39,150,0.98713,3.33,0.59,14,8
6,0.28,0.52,5,0.078,30,139,0.99494,3.1,0.36,9,6
6,0.28,0.25,1.8,0.042,8,108,0.9929,3.08,0.55,9,5
6.4,0.29,0.3,2.9,0.036,25,79,0.99037,3.29,0.6,12.4,7
8.1,0.12,0.38,0.9,0.034,36,86,0.99026,2.8,0.55,12,6
7.3,0.4,0.26,5.45,0.016,26,90,0.98951,2.84,0.54,13.2,7
7.7,0.11,0.34,14.05,0.04,41,114,0.99634,3.07,0.59,11,7
6.9,0.23,0.41,8,0.03,30,114,0.99368,3.22,0.54,11,6
5.8,0.19,0.24,1.3,0.044,38,128,0.99362,3.77,0.6,10.6,5
6.6,0.23,0.3,14.9,0.051,33,118,0.99835,3.04,0.54,9,6
8.4,0.31,0.31,0.95,0.021,52,148,0.99038,2.93,0.32,11.5,5
8.4,0.31,0.31,0.95,0.021,52,148,0.99038,2.93,0.32,11.5,5
7.5,0.19,0.4,7.1,0.056,50,110,0.9954,3.06,0.52,9.9,6
6.8,0.32,0.39,9.6,0.026,34,124,0.99286,3.18,0.35,12.1,6
6.8,0.18,0.28,9.8,0.039,29,113,0.99406,3.11,0.45,10.9,7
6.8,0.18,0.28,9.8,0.039,29,113,0.99406,3.11,0.45,10.9,7
6.6,0.28,0.34,0.8,0.037,42,119,0.9888,3.03,0.37,12.5,6
6,0.32,0.3,1.3,0.025,18,112,0.98802,3.07,0.64,13.3,7
6.7,0.18,0.28,10.2,0.039,29,115,0.99469,3.11,0.45,10.9,7
6.3,0.18,0.36,1.2,0.034,26,111,0.99074,3.16,0.51,11,6
5,0.27,0.32,4.5,0.032,58,178,0.98956,3.45,0.31,12.6,7
5,0.3,0.33,3.7,0.03,54,173,0.9887,3.36,0.3,13,7
6.8,0.25,0.37,3.1,0.026,29,93,0.99035,3.14,0.45,12.2,6
6.8,0.22,0.31,6.9,0.037,33,121,0.99176,3.02,0.39,11.9,8
8.4,0.22,0.3,8.9,0.024,17,118,0.99456,2.99,0.34,10.5,6
7.5,0.18,0.37,6.2,0.05,21,138,0.99546,3.2,0.55,10.5,6
6,0.24,0.33,2.5,0.026,31,85,0.99014,3.13,0.5,11.3,7
6.5,0.23,0.45,2.1,0.027,43,104,0.99054,3.02,0.52,11.3,6
6.2,0.33,0.41,16.8,0.037,58,173,0.99882,3.25,0.57,9.4,6
6.3,0.33,0.42,17.2,0.037,57,170,0.99884,3.26,0.57,9.4,6
5.8,0.15,0.31,5.9,0.036,7,73,0.99152,3.2,0.43,11.9,6
6.3,0.25,0.44,1.7,0.024,36,116,0.98935,3.18,0.4,12.5,6
6.9,0.28,0.41,1.4,0.016,6,55,0.98876,3.16,0.4,13.4,5
6.2,0.25,0.38,7.9,0.045,54,208,0.99572,3.17,0.46,9.1,5
6.8,0.28,0.43,7.6,0.03,30,110,0.99164,3.08,0.59,12.5,8
7.3,0.28,0.42,1.2,0.033,29,142,0.99205,3.17,0.43,10.7,4
6.8,0.28,0.43,7.6,0.03,30,110,0.99164,3.08,0.59,12.5,8
7.5,0.25,0.47,4.1,0.041,95,163,0.99184,2.92,0.59,11.3,6
6.6,0.35,0.34,4.9,0.032,9,125,0.99253,3.32,0.81,12,5
6.2,0.36,0.38,3.2,0.031,20,89,0.98956,3.06,0.33,12,7
7.6,0.27,0.52,3.2,0.043,28,152,0.99129,3.02,0.53,11.4,6
6.6,0.78,0.5,1.5,0.045,30,133,0.99104,3.25,0.48,11.7,5
6.7,0.14,0.51,4.3,0.028,57,124,0.99176,2.91,0.54,10.7,7
7,0.25,0.45,2.3,0.045,40,118,0.99064,3.16,0.48,11.9,7
7.7,0.25,0.49,2.5,0.047,31,169,0.99252,3.07,0.57,10.6,6
6.7,0.24,0.46,2.2,0.033,19,111,0.99045,3.1,0.62,11.9,6
6.5,0.24,0.39,17.3,0.052,22,126,0.99888,3.11,0.47,9.2,6
6.3,0.17,0.32,4.2,0.04,37,117,0.99182,3.24,0.43,11.3,6
6.5,0.23,0.39,1.9,0.036,41,98,0.99,3.19,0.43,11.9,7
7.6,0.23,0.34,1.6,0.043,24,129,0.99305,3.12,0.7,10.4,5
7.4,0.23,0.38,8.6,0.052,41,150,0.99534,3.06,0.46,10.3,5
7.2,0.17,0.37,6.9,0.059,47,128,0.99322,3.08,0.46,11,7
5,0.24,0.21,2.2,0.039,31,100,0.99098,3.69,0.62,11.7,6
6.1,0.21,0.38,1.5,0.039,37,122,0.98972,3.2,0.43,12,6
6.5,0.33,0.38,2.5,0.047,30,148,0.98964,3.17,0.43,12.7,6
5.6,0.19,0.27,0.9,0.04,52,103,0.99026,3.5,0.39,11.2,5
6.6,0.39,0.39,11.9,0.057,51,221,0.99851,3.26,0.51,8.9,6
5.9,0.33,0.32,8.1,0.038,9,34,0.9911,3.22,0.36,12.7,7
7.2,0.32,0.4,8.7,0.038,45,154,0.99568,3.2,0.47,10.4,6
6.2,0.23,0.36,17.2,0.039,37,130,0.99946,3.23,0.43,8.8,6
7.2,0.32,0.4,8.7,0.038,45,154,0.99568,3.2,0.47,10.4,6
7.6,0.25,1.23,4.6,0.035,51,294,0.99018,3.03,0.43,13.1,6
5.8,0.29,0.33,3.7,0.029,30,88,0.98994,3.25,0.42,12.3,6
6.8,0.39,0.34,7.4,0.02,38,133,0.99212,3.18,0.44,12,7
6.1,0.17,0.42,15.1,0.033,28,124,0.99684,2.87,0.47,9.5,5
6.1,0.17,0.42,15.1,0.033,28,124,0.99684,2.87,0.47,9.5,5
